Name,Link
accolite,"[' https://www.accolite.com/careers/jobs-in-india', ' \\<https://www.accolite.com/careers/jobs-in-india\\>']"
airtel,"[' https://eeji.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions', ' \\<https://eeji.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions\\>']"
ea,"[' https://ea.gr8people.com/jobs', ' \\<https://ea.gr8people.com/jobs\\>']"
gartner,"[' https://jobs.gartner.com/jobs/', ' \\<https://jobs.gartner.com/jobs\\>']"
harman,"[' https://jobs.harman.com/search-jobs/India?orgIds=23226&alp=1269750&alt=2', ' https://jobs.harman.com/en_US/careers/yourcareer', ' \\<https://jobs.harman.com/search-jobs/India?orgIds=23226&alp=1269750&alt=2\\>']"
yellow,"[' https://jobs.lever.co/yellowai', ' \\<https://jobs.lever.co/yellowai\\>']"
seimens,[' https://jobs.siemens.com/jobs']
samsung,"[' https://sec.wd3.myworkdayjobs.com/Samsung_Careers', ' \\<https://sec.wd3.myworkdayjobs.com/Samsung_Careers\\>']"
vmware,"[' https://careers.vmware.com/main/', ' \\<https://careers.vmware.com/main/\\>']"
adobe,"[' https://careers.adobe.com/us/en', ' https://careers.adobe.com/us/en', ' \\<https://careers.adobe.com/us/en\\>']"
amazon,"[' https://www.amazon.jobs/en-gb/job_categories/software-development', ' https://www.amazon.jobs/en/teams/in', ' \\<https://www.amazon.jobs/en-gb/job_categories/software-development\\>']"
cadence design systems,"[' https://cadence.wd1.myworkdayjobs.com/External_Careers', ' \\<https://cadence.wd1.myworkdayjobs.com/External_Careers\\>']"
clevertap,"[' https://clevertap.com/careers/', ' \\<https://clevertap.com/careers/\\>']"
cisco,"[' https://jobs.cisco.com/', ' https://jobs.cisco.com/', ' \\<https://jobs.cisco.com/\\>']"
dunzo,[' https://www.dunzo.com/careers#jobs']
fampay,[' https://apply.fampay.in/']
google,[' https://careers.google.com/']
hackererath,[' https://www.hackerearth.com/careers/']
morgan sanley,[' https://www.morganstanley.com/careers/career-opportunities-search']
ey,[' https://www.ey.com/en_in/careers']
mygate,[' https://mygate.darwinbox.in/ms/candidate/careers']
mcafee,"[' https://careers.mcafee.com/search-jobs', ' \\<https://careers.mcafee.com/search-jobs\\>']"
oracle,"[' https://www.oracle.com/in/corporate/careers/', ' https://www.oracle.com/careers/', ' \\<https://www.oracle.com/in/corporate/careers/\\>']"
microsoft,"[' https://careers.microsoft.com/us/en', ' https://careers.microsoft.com/v2/global/en/home.html', ' \\<https://careers.microsoft.com/us/en\\>']"
phonepe,"[' https://www.phonepe.com/careers/jobs-by-department/engineering/', ' \\<https://www.phonepe.com/careers/jobs-by-department/engineering/\\>']"
pwc,"[' https://www.pwc.com/gx/en/careers/experienced-job-search.html', ' \\<https://www.pwc.com/gx/en/careers/experienced-job-search.html\\>']"
rakuten,"[' https://rakuten.openings.co/#!/joblist', ' \\<https://rakuten.openings.co/#!/joblist\\>']"
razorpay,"[' https://razorpay.com/jobs/#joinus', ' \\<https://razorpay.com/jobs/#joinus\\>']"
sap,"[' https://www.sap.com/india/about/careers.html', ' https://jobs.sap.com/', ' \\<https://www.sap.com/india/about/careers.html\\>']"
media,"[' https://careers.media.net/engineering/', ' \\<https://careers.media.net/engineering/\\>']"
twilio,"[' https://www.twilio.com/company/jobs', ' \\<https://www.twilio.com/company/jobs\\>']"
byju’s,"[' https://byjus.com/careers-at-byjus/#join-our-team', ' \\<https://byjus.com/careers-at-byjus/#join-our-team\\>']"
intel,"[' https://jobs.intel.com/en', ' \\<https://jobs.intel.com/en\\>']"
mastercard,"[' https://careers.mastercard.com/us/en', ' \\<https://careers.mastercard.com/us/en\\>']"
nvidia,"[' https://www.nvidia.com/en-in/about-nvidia/careers/', ' \\<https://www.nvidia.com/en-in/about-nvidia/careers/\\>']"
myntra,"[' https://careers.myntra.com/jobs/', ' \\<https://careers.myntra.com/jobs/\\>']"
shell,"[' https://www.shell.com/careers.html', ' \\<https://www.shell.com/careers.html\\>']"
siemens,"[' https://jobs.siemens.com/careers?utm_source=j_c_global', ' https://www.siemens.com/global/en/company/jobs.html', ' \\<https://jobs.siemens.com/jobs\\>']"
gap inc,"[' https://www.gapinc.com/en-us/careers', ' \\<https://www.gapinc.com/en-us/careers\\>']"
nike,"[' https://jobs.nike.com/?jobSearch=true&jsOffset=0&jsSort=posting_start_date&jsLanguage=en', ' \\<https://jobs.nike.com/?jobSearch=true&jsOffset=0&jsSort=posting_start_date&jsLanguage=en\\>']"
moodys,"[' https://careers.moodys.com/', ' \\<https://careers.moodys.com/\\>']"
mountblue,"[' https://careers.mountblue.io/', ' \\<https://careers.mountblue.io/\\>']"
zycus,"[' https://www.zycus.com/company/careers/india-careers', ' \\<https://www.zycus.com/company/careers/india-careers\\>']"
appypie,"[' https://careers.appypie.com/careers', ' \\<https://careers.appypie.com/careers\\>']"
tata technologies,"[' https://tatatechnologies.ripplehire.com/candidate/?token=jjZIWXgr7fPCCF6T5yk4&source=CAREERSITE#list', ' \\<https://tatatechnologies.ripplehire.com/candidate/?token=jjZIWXgr7fPCCF6T5yk4&source=CAREERSITE#list\\>']"
trimble,"[' https://trimblecareers.trimble.com/careers', ' \\<https://trimblecareers.trimble.com/careers\\>']"
forcepoint,"[' https://www.forcepoint.com/company/work-with-us', ' \\<https://www.forcepoint.com/company/work-with-us\\>']"
bt group,"[' https://jobs.bt.com/', ' \\<https://jobs.bt.com/\\>']"
ziplr,"[' https://ziplr.hire.trakstar.com/', ' \\<https://ziplr.hire.trakstar.com/\\>']"
volvo,"[' https://www.volvogroup.com/en/careers.html', ' \\<https://www.volvogroup.com/en/careers.html\\>']"
eci,"[' https://www.eci.com/careers', ' \\<https://www.eci.com/careers\\>']"
morgan stanley,"[' https://www.morganstanley.com/people-opportunities/students-graduates', ' \\<https://www.morganstanley.com/people-opportunities/students-graduates\\>']"
moengage,"[' https://www.morganstanley.com/people-opportunities/students-graduates', ' \\<https://www.morganstanley.com/people-opportunities/students-graduates\\>']"
jpmorgan,"[' https://careers.jpmorgan.com/in/en/home', ' \\<https://careers.jpmorgan.com/in/en/home\\>']"
practo,"[' https://practo.app.param.ai/jobs/', ' \\<https://practo.app.param.ai/jobs/\\>']"
boston consulting,"[' https://careers.bcg.com/', ' \\<https://careers.bcg.com/\\>']"
paypal,"[' https://careers.pypl.com/home/', ' \\<https://careers.pypl.com/home/\\>']"
abb,"[' https://careers.abb/global/en/home', ' \\<https://careers.abb/global/en/home\\>']"
mercedes benz,"[' https://www.mercedes-benz.co.in/passengercars/brand/career.html', ' \\<https://www.mercedes-benz.co.in/passengercars/brand/career.html\\>']"
tiger analytics,"[' https://www.tigeranalytics.com/about-us/current-openings/', ' \\<https://www.tigeranalytics.com/about-us/current-openings/\\>']"
hp,"[' https://jobs.hp.com/', ' \\<https://jobs.hp.com/\\>']"
netapp,"[' https://careers.netapp.com/', ' \\<https://careers.netapp.com/\\>']"
airbus,"[' https://www.airbus.com/en/careers', ' \\<https://www.airbus.com/en/careers\\>']"
phenom,"[' https://careers.phenompeople.com/us/en', ' \\<https://careers.phenompeople.com/us/en\\>']"
autodesk,"[' https://www.autodesk.com/careers/overview', ' \\<https://www.autodesk.com/careers/overview\\>']"
salesforce,"[' https://careers.salesforce.com/en/our-locations/asia-pacific/india/?d=cta-rdr-in', ' \\<https://careers.salesforce.com/en/our-locations/asia-pacific/india/\\>']"
goldman sachs,"[' https://www.goldmansachs.com/careers/', ' \\<https://www.goldmansachs.com/careers/\\>']"
hexagon,"[' https://hexagon.com/company/careers', ' \\<https://hexagon.com/company/careers\\>']"
deutsche bank,"[' https://careers.db.com/', ' \\<https://careers.db.com/\\>']"
motorola,"[' https://www.motorolasolutions.com/en_xp/about/careers.html', ' \\<https://www.motorolasolutions.com/en_xp/about/careers.html\\>']"
renault,"[' https://www.renault.co.in/discover-renault/careers.html', ' \\<https://www.renault.co.in/discover-renault/careers.html\\>']"
societe generale,[' https://careers.societegenerale.com/en/search']
atlassians,[' https://www.atlassian.com/company/careers']
netflix,[' https://jobs.netflix.com/']
nissan,[' https://www.nissan.in/corporate/careers.html']
accenture,"[' https://www.accenture.com/in-en/careers', ' \\<https://www.accenture.com/in-en/careers\\>']"
dell,[' https://jobs.dell.com/']
deloitte,[' \\<http://mycareer.deloitte.com/in/en/where-do-you-fit/student\\>']
hcl techologies,[' \\<https://www.hcltech.com/careers/why-hcl-tech\\>']
hewlett packard,[' \\<http://www8.hp.com/us/en/jobs/index.html\\>']
polaris software,[' \\<http://www.polarisft.com/careers/index.asp\\>']
wipro ventures,['https://careers.wipro.com/ventures']
hcl technologies ventures,['https://www.hcltech.com/careers/ventures']
tech mahindra ventures,['https://careers.techmahindra.com/ventures']
cognizant ventures,['https://careers.cognizant.com/ventures']
l&t technology services ventures,['https://careers.lntinfotech.com/ventures']
mindtree ventures,['https://www.mindtree.com/careers/ventures']
hexaware ventures,['https://jobs.hexaware.com/ventures']
niit ventures,['https://careers.niit']
cyient ventures,['https://careers.cyient.com/ventures']
sonata software ventures,['https://www.sonata']
mphasis ventures,['https://careers.mphasis.com/ventures']
birlasoft ventures,['https://www.birlasoft.com/careers/ventures']
igate ventures,['https://careers.igate.com/ventures']
patni computer systems ventures,['https://careers.patni.com/ventures']
syntel ventures,['https://careers.syntelinc.com/ventures']
wns global services ventures,['https://careers.wns.com/ventures']
exl service ventures,['https://careers.exlservice.com/ventures']
hinduja global solutions ventures,['https://careers.hindujaglobalsolutions.com/ventures']
firstsource solutions ventures,['https://careers.firstsource.com/ventures']
intelenet global services ventures,['https://careers.intelenetglobal.com/ventures']
serco global services ventures,['https://careers.serco.com/ventures']
sutherland global services ventures,['https://careers.sutherlandglobal.com/ventures']
aditya birla minacs ventures,['https://careers.adityabirlaminacs.com/ventures']
amdocs india ventures,['https://careers.amdocs.com/ventures']
wipro bpo ventures,['https://careers.wipro.com/bpo/ventures']
hcl bpo ventures,['https://careers.hcltech.com/bpo/ventures']
conneqt business solutions ventures,['https://careers.conneqt.com/ventures']
css corp ventures,['https://careers.csscorp.com/ventures']
3i infotech ventures,['https://careers.3i']
polaris consulting & services ventures,['https://careers.polarisconsulting.com/ventures']
virtusa ventures,['https://careers.virtusa.com/ventures']
kpit technologies ventures,['https://careers.kpit.com/ventures']
persistent systems ventures,['https://careers.persistent.com/ventures']
eclerx ventures,['https://careers.eclerx.com/ventures']
datamatics ventures,['https://careers.datamatics.com/ventures']
mastek ventures,['https://careers.mastek.com/ventures']
rolta india ventures,['https://careers.rolta.com/ventures']
allied digital services ventures,['https://careers.allieddigital.net/ventures']
zenith infotech ventures,['https://careers.zenithinfotech.com/ventures']
ntt data india ventures,['https://careers.nttdata.com/ventures']
fujitsu consulting india ventures,['https://careers.fujitsu.com/ventures']
hitachi consulting india ventures,['https://careers.hitachiconsulting.com/ventures']
